tanth          M1coeff        M2coeff        lam1           lam2           lam3           lam4           lam5           m3             m5             mH             vDelta         vphi           mu2sq          mu3sq          
0.00808        12.18644       23.20626       0.03235        1.63382        -0.19853       0.21654        -1.93844       451.52367      294.18786      512.3668       0.70326        246.21197      -7839.20693    -52882.51414   
0.00608        13.15696       -23.11662      0.03235        0.98171        0.1328         0.10191        -3.47068       521.10662      246.97333      613.85395      0.52928        246.21545      -7838.07445    47241.76928    
0.00859        22.15056       16.7136        0.03242        0.83675        0.19558        0.14205        0.16384        673.7402       681.15722      669.99016      0.74776        246.21092      -7837.78954    357484.66833   
0.0099         24.93743       23.58323       0.03238        0.98638        1.37472        -0.4505        -1.94612       616.00185      511.56879      662.04121      0.86202        246.20793      -7827.29354    200972.24699   
0.00768        22.34188       25.70505       0.03242        1.22956        0.16865        0.23938        1.15367        735.68775      781.88728      711.45577      0.66885        246.21273      -7839.58657    427200.62663   
0.0019         3.0498         -5.67833       0.03235        -0.08977       -0.81852       0.83837        -0.64056       510.65707      471.08909      529.33323      0.16497        246.21956      -7843.7121     252231.66638   
0.00262        5.77761        19.40845       0.03235        0.96915        -0.05771       0.32143        1.16495        647.71723      700.1511       619.83857      0.2279         246.21916      -7843.51407    337365.71694   
0.01097        4.58432        14.09275       0.03236        0.80012        0.3632         0.10267        -0.3234        250.89068      208.56458      269.57478      0.95507        246.20518      -7845.52674    -43786.6374    
0.00858        9.64403        -23.74551      0.03235        1.0964         0.31139        0.18062        -1.45231       389.45209      251.8165       442.48364      0.7469         246.21094      -7839.27295    -25393.09257   
0.0032         3.58197        23.06334       0.03235        0.3547         0.36164        0.26027        -1.31983       393.35302      273.47661      441.24149      0.27878        246.21874      -7842.97748    71750.33707    
0.00282        1.42265        21.53452       0.03235        1.11942        0.30829        -0.10031       -0.07808       292.15884      284.05328      296.12762      0.24579        246.21902      -7843.90762    -52705.891     
0.00194        3.29055        27.62528       0.03235        1.15323        -0.64961       0.73938        2.129          600.32275      699.6502       543.89869      0.16857        246.21954      -7843.78031    285121.15197   
0.01103        10.63119       -15.96279      0.03235        0.46843        -0.15081       0.57887        -1.3756        355.07274      206.13492      409.70503      0.96038        246.20502      -7835.32116    27481.60406    
0.00501        11.13849       -11.27586      0.03237        1.21354        0.35007        0.10146        1.03945        647.00267      693.94366      622.2014       0.4361         246.21691      -7841.93838    302942.80397   
0.00951        0.0628         -16.74024      0.03235        0.01182        -0.1971        0.45329        0.12139        69.49331       109.63585      35.1949        0.82785        246.20887      -7843.26728    6988.77614     
0.00379        9.70784        -10.04753      0.03237        -0.00702       0.22848        0.08127        0.15536        671.48449      678.42748      667.98685      0.32976        246.21823      -7844.13247    456425.24395   
0.00101        2.74288        13.88659       0.03235        1.32566        -0.45591       0.52953        -4.72074       572.57485      204.1203       686.24336      0.08827        246.21987      -7843.59138    24019.11825    
0.00244        3.227          -1.66273       0.03235        0.31755        -0.54892       0.80022        0.51141        495.68404      526.02324      479.79601      0.21246        246.21927      -7843.80247    222698.3331    
0.00609        11.51057       -6.4013        0.03239        -0.10007       0.96263        -0.08541       -0.27576       566.34241      551.34032      573.69943      0.53009        246.21543      -7844.03659    324485.01194   
0.00833        13.56452       0.93977        0.03243        0.01217        1.06307        -0.33172       0.56103        548.19196      578.3735       532.46948      0.72515        246.21146      -7847.58981    316026.87072   
0.00094        0.79308        13.39454       0.03235        1.45162        -0.5398        0.56359        0.20251        391.62609      407.0147       383.70021      0.08164        246.21989      -7843.7395     -16490.80859   
0.00963        22.6573        -4.76957       0.03236        1.48076        -0.18505       0.28333        -1.71962       597.80885      503.0429       639.91884      0.83857        246.20858      -7827.94954    125672.47838   
0.00531        3.27544        -2.27164       0.03235        0.75231        0.89906        -0.12474       -1.07987       273.35093      96.14084       327.80968      0.46199        246.21653      -7843.72411    -49234.31989   
0.00913        20.57987       -27.35029      0.03236        1.37948        0.86673        -0.27221       -1.78655       581.60318      479.24761      626.51331      0.79484        246.20974      -7830.12516    116707.80817   
0.00023        0.23033        16.22713       0.03235        0.83254        1.0002         -0.16071       0.77703        442.33003      492.7136       414.8499       0.02028        246.21999      -7843.77898    118266.98169   
0.01035        26.73477       8.39631        0.03241        0.74219        -1.23633       1.25403        -1.46825       636.57572      562.37524      670.58513      0.90096        246.20681      -7828.40833    270741.54332   
0.00958        25.72025       -16.81007      0.03244        0.62322        -0.26789       0.57029        -0.02461       683.15455      681.90598      683.77027      0.83393        246.2087       -7837.47466    390265.66295   
6e-05          0.08251        -26.28308      0.03235        1.16327        -0.33341       0.42421        0.07889        490.80941      495.656        488.36808      0.00524        246.22         -7843.78091    102239.54208   
0.0111         6.68745        7.34599        0.0324         0.53353        0.51109        -0.11221       1.12729        372.92759      455.49926      323.84351      0.96617        246.20483      -7846.12979    108584.37063   
0.00093        0.86484        25.77112       0.03235        1.31744        0.36277        0.06019        -1.74496       331.32819      63.37462       403.31051      0.08058        246.21989      -7843.80828    -102840.30391  
0.00112        1.82895        5.106          0.03235        0.76039        0.91465        -0.24534       -0.21764       527.51689      514.86454      533.73036      0.09731        246.21985      -7843.67582    179483.47477   
0.01031        10.62595       -28.60542      0.03237        0.93244        0.14953        0.35799        0.52123        441.90041      475.96639      423.82606      0.89732        246.20692      -7837.39448    97850.18272    
0.00589        16.30408       -29.30857      0.0324         1.5207         0.0776         -0.01743       3.19887        760.6517       878.81346      694.0655       0.51307        246.21572      -7844.59602    491065.59216   
0.00971        5.22301        -11.63277      0.03236        0.73435        -0.41444       0.64383        -1.01439       250.82783      36.0201        306.14968      0.84516        246.2084       -7845.4108     -56930.5914    
0.0046         7.29843        5.79115        0.03235        0.53703        -0.46425       0.52855        -2.2593        456.0214       266.48222      525.7586       0.40014        246.2174       -7841.33781    74368.77671    
0.00324        8.89934        -7.3363        0.03236        0.36929        0.96052        -0.06011       -0.88525       671.52408      630.27654      691.22444      0.2823         246.21871      -7842.8571     379318.21089   
0.00112        0.97938        22.38899       0.03235        0.02829        -0.34735       0.70545        0.43909        407.45542      438.93654      390.76524      0.0972         246.21985      -7843.83878    175912.33151   
0.00978        6.01142        10.29353       0.03236        0.17194        -0.25417       0.62393        -0.41676       307.19251      263.05617      327.03595      0.85149        246.20822      -7840.67242    60928.93971    
0.00847        7.33203        -18.95998      0.0324         0.26863        -0.02971       0.51535        0.98666        424.95239      490.11725      388.30615      0.7375         246.21116      -7847.55231    177821.34319   
0.00955        19.18154       12.64322       0.03236        1.15437        0.53175        -0.13414       -1.64933       547.54469      447.13147      591.36338      0.83109        246.20878      -7830.53966    109897.41999   
0.00683        17.21696       -15.45905      0.03242        0.64838        -0.73543       0.8902         1.56057        697.23814      761.97768      662.50371      0.59462        246.21426      -7845.25028    454750.98556   
0.01082        12.35388       15.83553       0.03235        0.41602        -0.45115       0.68775        -1.67894       384.67632      215.31753      445.83511      0.94151        246.2056       -7834.05416    46720.05269    
0.00178        5.05315        -19.58399      0.03235        0.13889        -1.44528       1.46734        -0.8798        683.90128      643.69692      703.14194      0.15491        246.21961      -7843.5832     424192.29812   
0.01064        5.9573         -23.8197       0.03238        -0.05837       -0.03054       0.29196        -0.25848       299.372        271.44066      312.41355      0.92644        246.20606      -7844.05757    88720.41776    
0.01082        27.56109       9.27562        0.03241        0.79934        0.41852        -0.02755       -1.23748       637.2247       575.41553      665.9537       0.94173        246.20559      -7827.53108    271645.24407   
0.0062         1.02304        26.75706       0.03241        1.85383        -0.08981       0.16636        1.81724        289.54173      440.64589      169.39876      0.53931        246.21527      -7860.95541    -85765.99572   
0.00437        9.80019        12.76632       0.03237        1.27688        0.46928        -0.05935       2.13139        674.89219      764.68365      625.1771       0.38           246.21765      -7843.46067    365288.5604    
0.00543        15.34903       15.93842       0.03236        0.9186         0.92303        -0.19294       -2.32865       649.51172      529.88344      701.71085      0.47239        246.21637      -7838.36029    239937.95856   
0.00634        15.26282       -18.66622      0.03236        0.98238        0.34211        -0.06675       -1.69614       606.54041      514.71409      647.57703      0.55169        246.21506      -7837.40015    197295.56296   
0.00731        18.1067        -5.77448       0.03237        0.62593        -0.23907       0.54358        -1.93933       610.37882      504.90923      656.78153      0.63621        246.21342      -7835.83022    237846.93549   
0.00589        10.28477       -17.23489      0.03237        0.3701         -0.14209       0.63583        0.02838        552.25878      553.70872      551.53236      0.51253        246.21573      -7842.57301    260912.01973   
0.00874        21.12501       -27.81769      0.03239        0.86592        0.00582        0.43121        -0.58437       634.82548      606.04808      648.72183      0.76102        246.21059      -7834.8057     280146.86929   
0.00219        0.07658        -23.05239      0.03235        1.4974         0.58649        -0.19121       2.54242        288.3649       487.06572      78.19281       0.19064        246.21941      -7843.63761    -21363.36872   
0.00633        17.37204       16.0045        0.0324         -0.07169       -0.852         1.10303        -0.51423       679.63553      656.36588      690.97953      0.55141        246.21506      -7843.24291    455041.05037   
